stationid,stationname,platforms
940GZZLUALD,Aldgate,Circle|Eastbound - Platform 1/Circle|Northbound - Platform 3/Circle|Northbound - Platform 2/Circle|Eastbound - Platform 1/Circle|Westbound - Platform 4/Metropolitan|Northbound - Platform 3/Metropolitan|Northbound - Platform 2
940GZZLUADE,Aldgate East,District|Eastbound - Platform 2/District|Westbound - Platform 1/Hammersmith & City|Eastbound - Platform 2/Hammersmith & City|Westbound - Platform 1
940GZZLUAGL,Angel,Northern|Northbound - Platform 2/Northern|Southbound - Platform 1
940GZZLUBST,Baker Street,Bakerloo|Northbound - Platform 9/Bakerloo|Southbound - Platform 8/Circle|Eastbound - Platform 5/Hammersmith & City|Westbound - Platform 6/Hammersmith & City|Eastbound - Platform 5/Jubilee|Northbound - Platform 10/Jubilee|Southbound - Platform 7/Metropolitan|Southbound - Platform 3/Metropolitan|Northbound - Platform 2/Metropolitan|Northbound - Platform 1/Metropolitan|Northbound - Platform 4/Metropolitan|Westbound - Platform 6
940GZZLUBNK,Bank,Central|Eastbound - Platform 6/Central|Westbound Platform 5/Northern|Northbound - Platform 4/Northern|Southbound - Platform 3/Waterloo & City|Eastbound - Platform 8/Waterloo & City|Westbound - Platform 7
940GZZLUBBN,Barbican,Metropolitan|Eastbound - Platform 1/Metropolitan|Westbound Platform 2/Circle|Eastbound Platform 1/Hammersmith & City|Eastbound - Platform 1/Hammersmith & City|Westbound - Platform 2
940GZZBPSUST,Battersea Power Station,Northern|Northbound - Platform 1/Northern|Northbound - Platform 2
940GZZLUBKF,Blackfriars,Circle|Eastbound - Platform 2/Circle|Westbound - Platform 1/District|Eastbound - Platform 2/District|Westbound - Platform 1
940GZZLUBND,Bond Street,Central|Eastbound - Platform 2/Central|Westbound - Platform 1/Jubilee|Northbound - Platform 3/Jubilee|Southbound - Platform 4
940GZZLUBOR,Borough,Northern|Northbound - Platform 1/Northern|Southbound - Platform 2
940GZZLUCST,Cannon Street,Circle|Eastbound - Platform 2/Circle|Westbound - Platform 1/District|Eastbound - Platform 2/District|Westbound Platform 1
940GZZLUCHL,Chancery Lane,Central|Eastbound - Platform 2/Central|Westbound - Platform 1
940GZZLUCHX,Charing Cross,Bakerloo|Northbound - Platform 1/Bakerloo|Southbound - Platform 2/Northern|Northbound - Platform 5/Northern|Southbound - Platform 6
940GZZLUCGN,Covent Garden,Piccadilly|Eastbound - Platform 2/Piccadilly|Westbound - Platform 1
940GZZLUECT,Earl's Court,District|Eastbound - Platform 1/District|Eastbound - Platform 2/District|Westbound - Platform 3/District|Westbound - Platform 4/Piccadilly|Eastbound - Platform 5/Piccadilly|Westbound - Platform 6
940GZZLUERB,Edgware Road (Bakerloo),Bakerloo|Northbound - Platform 1/Bakerloo|Southbound - Platform 2
940GZZLUERC,Edgware Road (Circle),Circle|Eastbound - Platform 1/Hammersmith & City|Eastbound - Platform 1/Hammersmith & City|Platform 3/Hammersmith & City|Westbound - Platform 4/District|Platform 2
